Ian's Cracked Calculations,Time,Y12,sd,Y13,sd,Y14,sd,Y22,sd,Y23,,,mean,sd,Y24,,,mean,sd
Ethyl Acetate,2.364,284982.3333,28573.40206,212233,1411.467676,264190.3333,1247.370167,160253.3333,1312.444412,201216,199884,196408,199169.3333,2482.393469,180866,176978,176782,178208.6667,2303.403858
"1,1-diethoxyethane",2.429,100885.3333,1086.419962,81981.33333,989.0512289,101010.3333,1190.298002,95337.66667,1613.206848,112343,95176,94798,100772.3333,10022.27351,89284,103363,85166,92604.33333,9542.073272
Methanol,2.527,1286840.667,12781.04003,1235844.333,22200.6595,1285626.667,39033.3075,1267407.667,19254.22022,119951,11656,8187,46598,63549.2364,0,29967,0,9989,17301.45552
1-Propanol,5.345,240941,1048.816953,239876.6667,4038.922175,238241.6667,2268.567904,409953,1042.292186,424278,418096,417633,420002.3333,3710.065543,403136,400124,389605,397621.6667,7104.10053
2-methyl-1-propanol,6.956,864027.3333,10214.19161,863062,10269.40656,848584,11049.25486,4279295.667,23689.93568,4518117,4442391,4382326,4447611.333,68045.85094,4211445,4202774,4112836,4175685,54601.22857
Isopentyl acetate,7.236,23932.66667,4947.392984,24776.66667,939.0044373,24168.66667,3855.967626,37491.33333,2381.260451,39402,39163,37108,38557.66667,1261.122648,37230,38352,40923,38835,1893.28524
1-Butanol,8.045,16400.33333,109.0244621,17414.66667,639.1762928,17662.33333,1098.499128,9596,551.0816636,10028,11920,10307,10751.66667,1021.377664,11476,11227,14170,12291,1632.017463
2-methyl-1-butanol,9.265,0,0,0,0,0,0,3734257,69544.87621,3981783,3856674,3963308,3933921.667,67533.19858,3648878,3737923,3594521,3660440.667,72396.85661
3-methyl-1-butanol,9.298,6669892,65247.65849,6730235.667,73876.4739,5978194.667,998018.1544,6930272.667,44869.01008,7227792,7154673,6922533,7101666,159383.4082,6802447,6643854,6580919,6675740,114154.2879
Ethyl Caproate,9.604,16520.33333,1117.217227,16678.33333,893.3584574,15553,868.5234597,18841.33333,358.3215502,19019,20608,19202,19609.66667,869.4103366,21591,20381,17232,19734.66667,2250.228951
"1,1-diethoxybutane",9.97,10846,542.4232665,9880.666667,316.0827951,10110.33333,1825.513992,12187.33333,785.0053078,10329,11446,11527,11100.66667,669.5090241,12278,9514,10998,10930,1383.254134
1-Hexanol,11.698,27882.33333,721.8118407,28084,472.7398862,28361.66667,1134.192371,40399.33333,1454.362174,43137,44057,41229,42807.66667,1442.477498,38320,40739,38299,39119.33333,1402.711778
Ethyl Caprylate,12.827,26388.66667,2028.156881,25373.66667,692.6018577,26810.33333,856.1135049,36907.66667,1354.635129,37926,36244,36340,36836.66667,944.6106782,36399,38146,34623,36389.33333,1761.519893
Acetic Acid,13.081,291224,54745.96785,351681,5555.477027,229778,5107.091246,254231,7232.290992,305887,299950,293806,299881,6040.79556,254956,253864,230346,246388.6667,13904.08146
Furfural,13.192,129292,4790.736791,114410.6667,1362.14035,43789,1500.276308,55303,2300.496251,77479,69440,68325,71748,4994.404569,53843,50127,45119,49696.33333,4377.916095
5-methyl-2-furancarboxaldehyde,14.653,12840.66667,1675.642066,10766,644.6650293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethyl caprate,15.462,47766,26807.90697,31619,1004.443627,31352.33333,1785.543708,47372.33333,1304.347091,47349,47171,46989,47169.66667,180.0037037,45329,46236,42635,44733.33333,1872.942694
Ethyl Laurate,17.804,0,0,0,0,0,0,0,0,15721,15163,15733,15539,325.6808253,16224,14764,13753,14913.66667,1242.280296
Phenylethyl Alcohol,18.567,13605.66667,2320.869952,14271.66667,900.7620848,13340.33333,1681.587742,0,0,0,0,0,0,0,0,0,0,0,0
cis-3-Methyl-4-octanolide,19.056,16552.66667,1582.050989,19629.66667,1705.935618,15172.33333,2694.749401,14239.33333,1194.371104,16231,14436,14835,15167.33333,942.5180812,11136,11686,14717,12513,1928.428635
Ethyl Palmitate,21.874,12157.33333,2399.773392,12054.33333,957.7496193,11535,1218.422341,27472.33333,2388.55277,29931,30923,32703,31185.66667,1404.543105,27791,28167,25394,27117.33333,1504.244772
5-hydroxymethyl-2-furancarboxaldehyde,24.014,19850,4093.363898,20917.66667,3280.973382,0,0,0,0,0,0,9647,3215.666667,5569.698047,0,0,,0,0
